sumitkashyapjha,It's Karl Marx's birthday today. Here are five things you didn't know about him :  - India Today http://t.co/3ppwDS8kRr via @IndiaToday,Mon May 05 06:18:23 +0000 2014,Sumit Kashyap,"<a href=""http://twitter.com/tweetbutton"" rel=""nofollow"">Tweet Button</a>"
Deima9,RT @BethanyMota: New vlog is up!!! Some footage from my trip to India when I did a shopping challenge with @sherryshroff 💕 https://t.co/d3E…,Mon May 05 06:18:24 +0000 2014,Deimantė,web
alondralarios2,"""Si te vieras con mis ojos, quizás entenderías.""",Mon May 05 06:18:24 +0000 2014,Alondra Larios ,web
BAP_Yongguk13,RT @APinkPandas_INA: [PRESS PIC] 140503 Eunji (@Apinkjej) &amp; Bomi (@Apinkbm) at MBC Quiz to Change The World http://t.co/MVlOcA8gu6,Mon May 05 06:18:24 +0000 2014,Bang Yongguk,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
Egghead_Dexter,"So the man who claims to be the upcoming PM of India dares the constitutional institution like EC. Wow.! 
So law abiding! 
#AmethiHogiAAPki",Mon May 05 06:18:25 +0000 2014,Akash here!,web
rajeshshenoy63,#Smriti4Amethi hope today's rally will set the tone for May 7 election day across India.,Mon May 05 06:18:25 +0000 2014,Rajesh Shenoy,web
bigtimechuck1,Thee Tommy Quiz @SpitshineT,Mon May 05 06:18:25 +0000 2014,CharlesJames DaVinci,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
forexrelvo,"RT @BuySellBitcoinR: buysellbitco.in #bitcoin price in INR, Buy : 26446.00 INR Sell : 25516.00 INR. Buy and sell bitcoin in #India using #b…",Mon May 05 06:18:25 +0000 2014,Bitcoin fxRevolution,"<a href=""https://roundteam.co"" rel=""nofollow"">RoundTeam</a>"
seoexpertatanu,Affordable #DigitalMarketing Service By Professional Organic #SEO Expert - http://t.co/dcVj3YEvF0,Mon May 05 06:18:25 +0000 2014,Atanu Das,"<a href=""http://twitter.com/tweetbutton"" rel=""nofollow"">Tweet Button</a>"
gopalbb,pakistan officials are hiring economically weaker section from muslim community for their desires here in india... http://t.co/7r3R4iA1uS,Mon May 05 06:18:26 +0000 2014,Gopal Gowda,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>"
BellaKinesis,"Back to Bombay, back to work! Just a few more days in India before we head home to start production! Too excited #startup",Mon May 05 06:18:26 +0000 2014,Bella Kinesis,web
_aaidni,“@kiingce: india not trynna help me 😩”don't do it,Mon May 05 06:18:26 +0000 2014,India S.,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
_iRajput,RT @Samit2309: So its fine for Kashmir to demand separation based on religion but not okay for same people that India is Hindu nation.,Mon May 05 06:18:26 +0000 2014,ॐ नमो राजन [#HDL],"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
Siiddhuu,RT @realitycheckind: All girls go to school but it is only the Muslim girls who get cycles http://t.co/2RTTqz0CqS &lt; This happens to be ever…,Mon May 05 06:18:26 +0000 2014,Siddharth,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
